evidence_id,entity_id,entity_type,entity_review_status,source_id,source_type,source_status,source_path,parsed_path,cleaned_path,chunk_count,chunk_sample_ids,case_observation_count,generated_by
anomaly_moas__context_2026,anomaly_moas,AnomalyType,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_paper_bear_001|context_2026_route_leak_001|context_2026_scope_001|context_2026_datasource_001|context_2026_as_path_001,0,scripts/build_entity_source_evidence.py
anomaly_moas__rfc6811,anomaly_moas,AnomalyType,approved,rfc6811,standard,complete_deterministic,raw/standards/rfc6811.txt,parsed/standards/rfc6811.json,cleaned/standards/rfc6811.md,15,rfc6811_s001_1_001|rfc6811_s001_1_002|rfc6811_s003_2_001|rfc6811_s010_8_1_001|rfc6811_s001_1_003|rfc6811_s003_2_002|rfc6811_s005_3_001|rfc6811_s006_4_001|rfc6811_s007_5_001|rfc6811_s008_6_001|rfc6811_s011_8_2_001|rfc6811_s002_1_1_001|rfc6811_s003_2_003|rfc6811_s004_2_1_001|rfc6811_s009_7_001,0,scripts/build_entity_source_evidence.py
anomaly_origin_change__bgpshield_2025,anomaly_origin_change,AnomalyType,approved,bgpshield_2025,paper,complete_deterministic,raw/papers/bgpshield_2025.pdf,parsed/papers/bgpshield_2025.json,cleaned/papers/bgpshield_2025.md,61,bgpshield_2025_s010_page_10_002|bgpshield_2025_s004_page_4_002|bgpshield_2025_s010_page_10_001|bgpshield_2025_s004_page_4_003|bgpshield_2025_s007_page_7_001|bgpshield_2025_s008_page_8_001|bgpshield_2025_s009_page_9_003|bgpshield_2025_s001_page_1_003|bgpshield_2025_s003_page_3_004|bgpshield_2025_s009_page_9_002|bgpshield_2025_s012_page_12_003|bgpshield_2025_s013_page_13_002|bgpshield_2025_s005_page_5_001|bgpshield_2025_s007_page_7_002|bgpshield_2025_s008_page_8_002|bgpshield_2025_s004_page_4_001|bgpshield_2025_s007_page_7_003|bgpshield_2025_s011_page_11_002|bgpshield_2025_s011_page_11_003|bgpshield_2025_s003_page_3_003,0,scripts/build_entity_source_evidence.py
anomaly_origin_change__context_2026,anomaly_origin_change,AnomalyType,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_route_leak_001|context_2026_paper_bear_001|context_2026_datasource_001|context_2026_as_path_001|context_2026_scope_001,0,scripts/build_entity_source_evidence.py
anomaly_origin_change__rfc6811,anomaly_origin_change,AnomalyType,approved,rfc6811,standard,complete_deterministic,raw/standards/rfc6811.txt,parsed/standards/rfc6811.json,cleaned/standards/rfc6811.md,15,rfc6811_s001_1_002|rfc6811_s010_8_1_001|rfc6811_s001_1_001|rfc6811_s003_2_001|rfc6811_s006_4_001|rfc6811_s007_5_001|rfc6811_s001_1_003|rfc6811_s002_1_1_001|rfc6811_s003_2_002|rfc6811_s003_2_003|rfc6811_s004_2_1_001|rfc6811_s005_3_001|rfc6811_s008_6_001|rfc6811_s009_7_001|rfc6811_s011_8_2_001,0,scripts/build_entity_source_evidence.py
anomaly_path_hijack__bgpshield_2025,anomaly_path_hijack,AnomalyType,approved,bgpshield_2025,paper,complete_deterministic,raw/papers/bgpshield_2025.pdf,parsed/papers/bgpshield_2025.json,cleaned/papers/bgpshield_2025.md,61,bgpshield_2025_s010_page_10_002|bgpshield_2025_s002_page_2_001|bgpshield_2025_s007_page_7_002|bgpshield_2025_s001_page_1_003|bgpshield_2025_s003_page_3_002|bgpshield_2025_s004_page_4_002|bgpshield_2025_s004_page_4_003|bgpshield_2025_s012_page_12_003|bgpshield_2025_s005_page_5_001|bgpshield_2025_s008_page_8_001|bgpshield_2025_s001_page_1_001|bgpshield_2025_s004_page_4_001|bgpshield_2025_s007_page_7_001|bgpshield_2025_s008_page_8_003|bgpshield_2025_s009_page_9_002|bgpshield_2025_s013_page_13_003|bgpshield_2025_s003_page_3_003|bgpshield_2025_s007_page_7_003|bgpshield_2025_s008_page_8_002|bgpshield_2025_s009_page_9_003,0,scripts/build_entity_source_evidence.py
anomaly_path_hijack__context_2026,anomaly_path_hijack,AnomalyType,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_paper_bear_001|context_2026_route_leak_001|context_2026_scope_001|context_2026_datasource_001|context_2026_as_path_001,0,scripts/build_entity_source_evidence.py
anomaly_path_hijack__rfc4271,anomaly_path_hijack,AnomalyType,approved,rfc4271,standard,complete_deterministic,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,129,rfc4271_s048_8_1_2_001|rfc4271_s073_9_2_2_2_003|rfc4271_s005_1_001|rfc4271_s009_3_001|rfc4271_s019_2_001|rfc4271_s029_5_1_2_001|rfc4271_s029_5_1_2_002|rfc4271_s047_8_1_1_001|rfc4271_s065_9_1_3_001|rfc4271_s066_9_1_4_001|rfc4271_s072_9_2_2_1_001|rfc4271_s073_9_2_2_2_002|rfc4271_s081_6_003|rfc4271_s006_1_1_002|rfc4271_s009_3_002|rfc4271_s009_3_003|rfc4271_s010_3_1_001|rfc4271_s011_3_2_002|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002,0,scripts/build_entity_source_evidence.py
anomaly_path_manipulation__bgpshield_2025,anomaly_path_manipulation,AnomalyType,approved,bgpshield_2025,paper,complete_deterministic,raw/papers/bgpshield_2025.pdf,parsed/papers/bgpshield_2025.json,cleaned/papers/bgpshield_2025.md,61,bgpshield_2025_s004_page_4_002|bgpshield_2025_s010_page_10_002|bgpshield_2025_s010_page_10_001|bgpshield_2025_s011_page_11_002|bgpshield_2025_s002_page_2_001|bgpshield_2025_s005_page_5_001|bgpshield_2025_s004_page_4_003|bgpshield_2025_s008_page_8_001|bgpshield_2025_s003_page_3_002|bgpshield_2025_s007_page_7_002|bgpshield_2025_s008_page_8_002|bgpshield_2025_s008_page_8_003|bgpshield_2025_s009_page_9_002|bgpshield_2025_s012_page_12_003|bgpshield_2025_s001_page_1_001|bgpshield_2025_s001_page_1_003|bgpshield_2025_s004_page_4_001|bgpshield_2025_s007_page_7_001|bgpshield_2025_s009_page_9_003|bgpshield_2025_s011_page_11_003,0,scripts/build_entity_source_evidence.py
anomaly_path_manipulation__context_2026,anomaly_path_manipulation,AnomalyType,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_paper_bear_001|context_2026_route_leak_001|context_2026_scope_001|context_2026_datasource_001|context_2026_as_path_001,0,scripts/build_entity_source_evidence.py
