source_id,source_type,path,raw_status,parseable,parsed_status,cleaned_status,chunk_count,case_observation_count,processing_status,notes
ap2vec_2022,paper,raw/papers/ap2vec_2022.html,archived,True,present,present,2,0,complete_deterministic,
arin_aspa_doc,data_doc,raw/data_docs/arin_aspa_doc.html,archived,True,present,present,5,0,complete_deterministic,
artemis_2018,paper,raw/papers/artemis_2018.pdf,archived,True,present,present,64,0,complete_deterministic,
aswatch_2015,paper,raw/papers/aswatch_2015.html,archived,True,present,present,9,0,complete_deterministic,
aws_route53_crypto_hijack_2018,case_report,raw/cases/aws_route53_crypto_hijack_2018.html,archived,True,present,present,8,30,complete_deterministic,
beam_2024,paper,raw/papers/beam_2024.pdf,archived,True,present,present,62,0,complete_deterministic,
bear_2025,paper,raw/papers/bear_2025.pdf,archived,True,present,present,33,0,complete_deterministic,
bgp2vec_2020,paper,raw/papers/bgp2vec_2020.pdf,archived,True,present,present,22,0,complete_deterministic,
bgpshield_2025,paper,raw/papers/bgpshield_2025.pdf,archived,True,present,present,61,0,complete_deterministic,
bgpstream_docs,tool_doc,raw/tools_docs/bgpstream_docs.html,archived,True,present,present,1,0,complete_deterministic,
bgpstream_tutorials,tool_doc,raw/tools_docs/bgpstream_tutorials.html,archived,True,present,present,1,0,complete_deterministic,
bursty_announcements_2019,paper,raw/papers/bursty_announcements_2019.pdf,archived,True,present,present,55,0,complete_deterministic,
caida_as_relationships,data_doc,raw/data_docs/caida_as_relationships.html,archived,True,present,present,15,0,complete_deterministic,
caida_asrank_api,data_doc,raw/data_docs/caida_asrank_api.html,archived,True,present,present,7,0,complete_deterministic,
cair_2016,paper,raw/papers/cair_2016.pdf,archived,True,present,present,45,0,complete_deterministic,
cert_eu_china_telecom_route_leak_2019,case_report,raw/cases/cert_eu_china_telecom_route_leak_2019.pdf,archived,True,present,present,4,14,complete_deterministic,
china_telecom_europe_route_leak_2019,case_report,raw/cases/china_telecom_europe_route_leak_2019.html,archived,True,present,present,7,9,complete_deterministic,
cloudflare_outage_2026,case_report,raw/cases/cloudflare_outage_2026.html,archived,True,present,present,13,14,complete_deterministic,
cloudflare_verizon_route_leak_2019,case_report,raw/cases/cloudflare_verizon_route_leak_2019.html,archived,True,present,present,7,12,complete_deterministic,
context_2026,manual_note,../context.md,external_note,False,not_applicable,not_applicable,5,0,manual_note,来源位于知识库目录外
facebook_outage_cloudflare_2021,case_report,raw/cases/facebook_outage_cloudflare_2021.html,archived,True,present,present,8,26,complete_deterministic,
facebook_outage_meta_2021,case_report,raw/cases/facebook_outage_meta_2021.html,archived,True,present,present,4,3,complete_deterministic,
fastly_rpki_hijack_2024,case_report,raw/cases/fastly_rpki_hijack_2024.html,archived,True,present,present,8,0,complete_deterministic,
global_bgp_attacks_2024,paper,raw/papers/global_bgp_attacks_2024.pdf,archived,True,present,present,32,0,complete_deterministic,
indosat_route_leak_2014,case_report,raw/cases/indosat_route_leak_2014.html,archived,True,present,present,6,5,complete_deterministic,
mainone_google_cloudflare_route_leak_2018,case_report,raw/cases/mainone_google_cloudflare_route_leak_2018.html,archived,True,present,present,7,15,complete_deterministic,
manrs_bgp_2020_review,case_report,raw/cases/manrs_bgp_2020_review.html,archived,True,present,present,8,4,complete_deterministic,
manrs_measurement_framework,data_doc,raw/data_docs/manrs_measurement_framework.html,archived,True,present,present,9,0,complete_deterministic,
manrs_netops_actions,data_doc,raw/data_docs/manrs_netops_actions.pdf,archived,True,present,present,17,0,complete_deterministic,
manrs_observatory_faq,data_doc,raw/data_docs/manrs_observatory_faq.html,archived,True,present,present,3,0,complete_deterministic,
manrs_regional_bgp_incidents_2020,case_report,raw/cases/manrs_regional_bgp_incidents_2020.html,archived,True,present,present,6,11,complete_deterministic,
oscilloscope_2023,paper,raw/papers/oscilloscope_2023.pdf,archived,True,present,present,65,0,complete_deterministic,
peeringdb_api_docs,data_doc,raw/data_docs/peeringdb_api_docs.yaml,archived,True,present,present,772,0,complete_deterministic,
peerlock_2020,paper,raw/papers/peerlock_2020.pdf,archived,True,present,present,52,0,complete_deterministic,
practical_defenses_2007,paper,raw/papers/practical_defenses_2007.html,archived,True,present,present,2,0,complete_deterministic,
rfc2622,standard,raw/standards/rfc2622.txt,archived,True,present,present,82,0,complete_deterministic,
rfc3912,standard,raw/standards/rfc3912.txt,archived,True,present,present,7,0,complete_deterministic,
rfc4271,standard,raw/standards/rfc4271.txt,archived,True,present,present,129,0,complete_deterministic,
rfc6480,standard,raw/standards/rfc6480.txt,archived,True,present,present,43,0,complete_deterministic,
rfc6811,standard,raw/standards/rfc6811.txt,archived,True,present,present,15,0,complete_deterministic,
rfc7908,standard,raw/standards/rfc7908.txt,archived,True,present,present,15,0,complete_deterministic,
rfc8205,standard,raw/standards/rfc8205.txt,archived,True,present,present,80,0,complete_deterministic,
rfc8210,standard,raw/standards/rfc8210.txt,archived,True,present,present,54,0,complete_deterministic,
rfc9082,standard,raw/standards/rfc9082.txt,archived,True,present,present,32,0,complete_deterministic,
rfc9083,standard,raw/standards/rfc9083.txt,archived,True,present,present,78,0,complete_deterministic,
rfc9234,standard,raw/standards/rfc9234.txt,archived,True,present,present,19,0,complete_deterministic,
ripe_aspa_doc,data_doc,raw/data_docs/ripe_aspa_doc.html,archived,True,present,present,11,0,complete_deterministic,
ripe_ris_docs,data_doc,raw/data_docs/ripe_ris_docs.html,archived,True,present,present,1,0,complete_deterministic,
ripe_ris_raw_data,data_doc,raw/data_docs/ripe_ris_raw_data.html,archived,True,present,present,2,0,complete_deterministic,
ripe_ris_route_collectors,data_doc,raw/data_docs/ripe_ris_route_collectors.html,archived,True,present,present,3,0,complete_deterministic,
ripestat_api_docs,data_doc,raw/data_docs/ripestat_api_docs.html,archived,True,present,present,6,0,complete_deterministic,
routeviews_api_doc,data_doc,raw/data_docs/routeviews_api_doc.html,archived,True,present,present,27,0,complete_deterministic,
routeviews_archive_index,data_doc,raw/data_docs/routeviews_archive_index.html,archived,True,present,present,5,0,complete_deterministic,
youtube_hijack_google_2008,case_report,raw/cases/youtube_hijack_google_2008.html,archived,True,present,present,3,5,complete_deterministic,
