source_id,path,url,status,http_status,bytes,content_type,error
rfc4271,raw/standards/rfc4271.txt,https://www.rfc-editor.org/rfc/rfc4271.txt,downloaded,200,222702,text/plain;charset=utf-8,
rfc6480,raw/standards/rfc6480.txt,https://www.rfc-editor.org/rfc/rfc6480.txt,downloaded,200,62127,text/plain;charset=utf-8,
rfc6811,raw/standards/rfc6811.txt,https://www.rfc-editor.org/rfc/rfc6811.txt,downloaded,200,20082,text/plain;charset=utf-8,
rfc7908,raw/standards/rfc7908.txt,https://www.rfc-editor.org/rfc/rfc7908.txt,downloaded,200,25417,text/plain;charset=utf-8,
rfc8205,raw/standards/rfc8205.txt,https://www.rfc-editor.org/rfc/rfc8205.txt,downloaded,200,115900,text/plain;charset=utf-8,
rfc8210,raw/standards/rfc8210.txt,https://www.rfc-editor.org/rfc/rfc8210.txt,downloaded,200,78467,text/plain;charset=utf-8,
rfc9234,raw/standards/rfc9234.txt,https://www.rfc-editor.org/rfc/rfc9234.txt,downloaded,200,29154,text/plain;charset=utf-8,
routeviews_api_doc,raw/data_docs/routeviews_api_doc.html,https://api.routeviews.org/docs,downloaded,200,48083,text/html,
routeviews_archive_index,raw/data_docs/routeviews_archive_index.html,https://archive.routeviews.org/,downloaded,200,14923,text/html; charset=UTF-8,
ripe_ris_docs,raw/data_docs/ripe_ris_docs.html,https://ris.ripe.net/docs/,downloaded,200,5557,text/html; charset=UTF-8,
ripe_ris_route_collectors,raw/data_docs/ripe_ris_route_collectors.html,https://ris.ripe.net/docs/route-collectors/,downloaded,200,48167,text/html; charset=UTF-8,
ripe_ris_raw_data,raw/data_docs/ripe_ris_raw_data.html,https://ris.ripe.net/docs/mrt/,downloaded,200,12738,text/html; charset=UTF-8,
bgpstream_docs,raw/tools_docs/bgpstream_docs.html,https://bgpstream.caida.org/docs,downloaded,200,14139,text/html; charset=UTF-8,
bgpstream_tutorials,raw/tools_docs/bgpstream_tutorials.html,https://bgpstream.caida.org/docs/tutorials,downloaded,200,14723,text/html; charset=UTF-8,
caida_as_relationships,raw/data_docs/caida_as_relationships.html,https://www.caida.org/catalog/datasets/as-relationships/,downloaded,200,52669,text/html,
