entity_id,review_decision,reviewer,reviewed_at,decision_note,entity_type,display_name,review_batch,review_bucket,source_paths,cleaned_paths,chunk_sample_ids,decision_instructions
field_aggregator,,,,,DataField,aggregator,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s021_2_001|rfc4271_s021_2_002|rfc4271_s026_4_002|rfc4271_s076_10_003|rfc4271_s006_1_1_002|rfc4271_s010_3_1_001|rfc4271_s012_4_001|rfc4271_s013_4_1_001|rfc4271_s014_4_2_001|rfc4271_s014_4_2_002|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
datasource_aspa,,,,,DataSource,ASPA,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/arin_aspa_doc.html|raw/data_docs/ripe_aspa_doc.html|raw/standards/rfc6480.txt,cleaned/data_docs/arin_aspa_doc.md|cleaned/data_docs/ripe_aspa_doc.md|cleaned/standards/rfc6480.md,arin_aspa_doc_s001_full_001|arin_aspa_doc_s001_full_002|arin_aspa_doc_s001_full_003|arin_aspa_doc_s001_full_004|arin_aspa_doc_s001_full_005|rfc6480_s002_1_001|rfc6480_s002_1_002|rfc6480_s002_1_003|rfc6480_s003_1_1_001|rfc6480_s004_2_001|rfc6480_s004_2_002|rfc6480_s005_2_1_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
mechanism_aspa_path_verification,,,,,RoutingMechanism,ASPA Path Verification,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/arin_aspa_doc.html|raw/data_docs/ripe_aspa_doc.html,cleaned/data_docs/arin_aspa_doc.md|cleaned/data_docs/ripe_aspa_doc.md,arin_aspa_doc_s001_full_001|arin_aspa_doc_s001_full_004|arin_aspa_doc_s001_full_002|arin_aspa_doc_s001_full_003|arin_aspa_doc_s001_full_005|ripe_aspa_doc_s001_full_007|ripe_aspa_doc_s001_full_008|ripe_aspa_doc_s001_full_010|ripe_aspa_doc_s001_full_009|ripe_aspa_doc_s001_full_001|ripe_aspa_doc_s001_full_006|ripe_aspa_doc_s001_full_002,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_asrank_rank,,,,,DataField,asrank_rank,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/caida_asrank_api.html,cleaned/data_docs/caida_asrank_api.md,caida_asrank_api_s001_full_002|caida_asrank_api_s001_full_001|caida_asrank_api_s001_full_005|caida_asrank_api_s001_full_006|caida_asrank_api_s001_full_003|caida_asrank_api_s001_full_004|caida_asrank_api_s001_full_007,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_asrank_relationship,,,,,DataField,asrank_relationship,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/caida_as_relationships.html|raw/data_docs/caida_asrank_api.html,cleaned/data_docs/caida_as_relationships.md|cleaned/data_docs/caida_asrank_api.md,caida_as_relationships_s001_full_002|caida_as_relationships_s001_full_011|caida_as_relationships_s001_full_013|caida_as_relationships_s001_full_001|caida_as_relationships_s001_full_003|caida_as_relationships_s001_full_004|caida_as_relationships_s001_full_005|caida_as_relationships_s001_full_006|caida_as_relationships_s001_full_007|caida_as_relationships_s001_full_009|caida_as_relationships_s001_full_010|caida_as_relationships_s001_full_012,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_atomic_aggregate,,,,,DataField,atomic_aggregate,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s021_2_001|rfc4271_s026_4_002|rfc4271_s076_10_003|rfc4271_s033_5_1_6_001|rfc4271_s066_9_1_4_002|rfc4271_s073_9_2_2_2_003|rfc4271_s076_10_002|rfc4271_s081_6_008|rfc4271_s021_2_002|rfc4271_s006_1_1_002|rfc4271_s010_3_1_001|rfc4271_s012_4_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
mechanism_bgp_decision_process,,,,,RoutingMechanism,BGP Decision Process,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s060_9_1_001|rfc4271_s031_5_1_4_001|rfc4271_s021_2_001|rfc4271_s062_9_1_2_001|rfc4271_s073_9_2_2_2_001|rfc4271_s006_1_1_002|rfc4271_s011_3_2_001|rfc4271_s061_9_1_1_001|rfc4271_s063_9_1_2_1_001|rfc4271_s064_9_1_2_2_003|rfc4271_s065_9_1_3_001|rfc4271_s066_9_1_4_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
mechanism_rib_model,,,,,RoutingMechanism,BGP RIB Model,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/ripe_ris_raw_data.html|raw/data_docs/routeviews_archive_index.html|raw/standards/rfc4271.txt,cleaned/data_docs/ripe_ris_raw_data.md|cleaned/data_docs/routeviews_archive_index.md|cleaned/standards/rfc4271.md,rfc4271_s009_3_003|rfc4271_s010_3_1_001|rfc4271_s011_3_2_001|rfc4271_s048_8_1_2_001|rfc4271_s058_8_2_2_010|rfc4271_s081_6_003|rfc4271_s081_6_006|rfc4271_s026_4_002|rfc4271_s031_5_1_4_001|rfc4271_s073_9_2_2_2_002|rfc4271_s006_1_1_001|rfc4271_s006_1_1_002,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
mechanism_route_leak_roles_otc,,,,,RoutingMechanism,BGP Roles and OTC Route Leak Prevention,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc9234.txt,cleaned/standards/rfc9234.md,rfc9234_s018_8_001|rfc9234_s016_6_001|rfc9234_s008_4_2_002|rfc9234_s014_2_001|rfc9234_s015_4_001|rfc9234_s002_1_001|rfc9234_s005_3_1_001|rfc9234_s005_3_1_002|rfc9234_s006_4_001|rfc9234_s008_4_2_001|rfc9234_s009_5_001|rfc9234_s002_1_002,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
mechanism_update_withdrawal,,,,,RoutingMechanism,BGP Update and Withdrawal Propagation,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/ripe_ris_raw_data.html|raw/standards/rfc4271.txt|raw/tools_docs/bgpstream_docs.html,cleaned/data_docs/bgpstream_docs.md|cleaned/data_docs/ripe_ris_raw_data.md|cleaned/standards/rfc4271.md,bgpstream_docs_s001_full_001|rfc4271_s010_3_1_001|rfc4271_s059_9_001|rfc4271_s005_1_001|rfc4271_s009_3_002|rfc4271_s009_3_003|rfc4271_s026_4_002|rfc4271_s069_9_2_1_1_001|rfc4271_s031_5_1_4_001|rfc4271_s022_4_4_001|rfc4271_s048_8_1_2_001|rfc4271_s058_8_2_2_010,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_bgp_identifier,,,,,DataField,bgp_identifier,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s014_4_2_001|rfc4271_s014_4_2_002|rfc4271_s021_2_002|rfc4271_s024_6_001|rfc4271_s037_6_2_001|rfc4271_s081_6_009|rfc4271_s006_1_1_001|rfc4271_s034_5_1_7_001|rfc4271_s043_6_8_001|rfc4271_s043_6_8_002|rfc4271_s052_8_2_1_001|rfc4271_s076_10_002,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_bgp_role,,,,,DataField,bgp_role,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc9234.txt,cleaned/standards/rfc9234.md,rfc9234_s002_1_001|rfc9234_s005_3_1_001|rfc9234_s006_4_001|rfc9234_s007_4_1_001|rfc9234_s008_4_2_001|rfc9234_s008_4_2_002|rfc9234_s015_4_001|rfc9234_s016_6_001|rfc9234_s017_7_001|rfc9234_s018_8_001|rfc9234_s002_1_002|rfc9234_s003_2_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
mechanism_bgpsec_path_validation,,,,,RoutingMechanism,BGPsec Path Validation,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc6480.txt|raw/standards/rfc8205.txt,cleaned/standards/rfc6480.md|cleaned/standards/rfc8205.md,rfc6480_s007_2_3_001|rfc6480_s012_4_001|rfc6480_s002_1_003|rfc6480_s005_2_1_002|rfc6480_s008_2_4_001|rfc6480_s010_3_1_001|rfc6480_s015_4_3_001|rfc6480_s016_4_4_001|rfc6480_s035_8_001|rfc6480_s039_11_2_001|rfc6480_s026_7_2_001|rfc6480_s002_1_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
datasource_caida_asrank,,,,,DataSource,CAIDA ASRank,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/caida_as_relationships.html|raw/data_docs/caida_asrank_api.html,cleaned/data_docs/caida_as_relationships.md|cleaned/data_docs/caida_asrank_api.md,caida_as_relationships_s001_full_011|caida_as_relationships_s001_full_013|caida_as_relationships_s001_full_001|caida_as_relationships_s001_full_012|caida_as_relationships_s001_full_015|caida_as_relationships_s001_full_002|caida_as_relationships_s001_full_003|caida_as_relationships_s001_full_004|caida_as_relationships_s001_full_005|caida_as_relationships_s001_full_006|caida_as_relationships_s001_full_007|caida_as_relationships_s001_full_008,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_customer_cone_asns,,,,,DataField,customer_cone_asns,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/caida_as_relationships.html|raw/data_docs/caida_asrank_api.html,cleaned/data_docs/caida_as_relationships.md|cleaned/data_docs/caida_asrank_api.md,caida_as_relationships_s001_full_007|caida_as_relationships_s001_full_008|caida_as_relationships_s001_full_009|caida_as_relationships_s001_full_010|caida_as_relationships_s001_full_011|caida_as_relationships_s001_full_013|caida_as_relationships_s001_full_014|caida_as_relationships_s001_full_015|caida_as_relationships_s001_full_004|caida_as_relationships_s001_full_005|caida_as_relationships_s001_full_012|caida_as_relationships_s001_full_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_hold_time,,,,,DataField,hold_time,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s014_4_2_001|rfc4271_s024_6_001|rfc4271_s037_6_2_001|rfc4271_s040_6_5_001|rfc4271_s058_8_2_2_009|rfc4271_s058_8_2_2_010|rfc4271_s076_10_004|rfc4271_s081_6_009|rfc4271_s022_4_4_001|rfc4271_s058_8_2_2_004|rfc4271_s058_8_2_2_006|rfc4271_s058_8_2_2_007,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_local_pref,,,,,DataField,local_pref,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s021_2_001|rfc4271_s026_4_002|rfc4271_s076_10_003|rfc4271_s006_1_1_002|rfc4271_s032_5_1_5_001|rfc4271_s038_6_3_003|rfc4271_s059_9_001|rfc4271_s061_9_1_1_001|rfc4271_s081_6_001|rfc4271_s081_6_008|rfc4271_s010_3_1_001|rfc4271_s014_4_2_002,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
