entity_id,review_decision,reviewer,reviewed_at,decision_note,session_id,within_session_order,entity_type,display_name,queue_status,review_status,review_batch,review_bucket,source_refs,cleaned_paths,parsed_paths,top_extract_ids,decision_instructions
field_nlri,,,,,review_session_003,1,DataField,nlri,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,rfc4271,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_field_nlri_01|extract_field_nlri_02|extract_field_nlri_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_origin_attribute,,,,,review_session_003,2,DataField,origin_attribute,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,rfc4271,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_field_origin_attribute_01|extract_field_origin_attribute_02|extract_field_origin_attribute_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_otc_attribute,,,,,review_session_003,3,DataField,otc_attribute,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,rfc9234,cleaned/standards/rfc9234.md,parsed/standards/rfc9234.json,extract_field_otc_attribute_01|extract_field_otc_attribute_02|extract_field_otc_attribute_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_path_attributes,,,,,review_session_003,4,DataField,path_attributes,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,rfc4271,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_field_path_attributes_01|extract_field_path_attributes_02|extract_field_path_attributes_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
datasource_peeringdb,,,,,review_session_003,5,DataSource,PeeringDB,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,peeringdb_api_docs,cleaned/data_docs/peeringdb_api_docs.md,parsed/data_docs/peeringdb_api_docs.json,extract_datasource_peeringdb_01|extract_datasource_peeringdb_02|extract_datasource_peeringdb_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
datasource_ripestat,,,,,review_session_003,6,DataSource,RIPEstat Data API,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,ripestat_api_docs|ripe_ris_docs,cleaned/data_docs/ripe_ris_docs.md|cleaned/data_docs/ripestat_api_docs.md,parsed/data_docs/ripe_ris_docs.json|parsed/data_docs/ripestat_api_docs.json,extract_datasource_ripestat_01|extract_datasource_ripestat_02|extract_datasource_ripestat_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_routeviews_endpoint,,,,,review_session_003,7,DataField,routeviews_endpoint,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,routeviews_api_doc,cleaned/data_docs/routeviews_api_doc.md,parsed/data_docs/routeviews_api_doc.json,extract_field_routeviews_endpoint_01|extract_field_routeviews_endpoint_02|extract_field_routeviews_endpoint_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
mechanism_rpki_to_router_delivery,,,,,review_session_003,8,RoutingMechanism,RPKI-to-Router Delivery,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,rfc8210|rfc6480,cleaned/standards/rfc6480.md|cleaned/standards/rfc8210.md,parsed/standards/rfc6480.json|parsed/standards/rfc8210.json,extract_mechanism_rpki_to_router_delivery_01|extract_mechanism_rpki_to_router_delivery_02|extract_mechanism_rpki_to_router_delivery_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_rpki_rtr_pdu,,,,,review_session_003,9,DataField,rpki_rtr_pdu,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,rfc8210,cleaned/standards/rfc8210.md,parsed/standards/rfc8210.json,extract_field_rpki_rtr_pdu_01|extract_field_rpki_rtr_pdu_02|extract_field_rpki_rtr_pdu_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_ris_rrc,,,,,review_session_003,10,DataField,rrc,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,ripe_ris_docs|ripe_ris_route_collectors|ripe_ris_raw_data,cleaned/data_docs/ripe_ris_docs.md|cleaned/data_docs/ripe_ris_raw_data.md|cleaned/data_docs/ripe_ris_route_collectors.md,parsed/data_docs/ripe_ris_docs.json|parsed/data_docs/ripe_ris_raw_data.json|parsed/data_docs/ripe_ris_route_collectors.json,extract_field_ris_rrc_01|extract_field_ris_rrc_02|extract_field_ris_rrc_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
